RoomID,RoomType,Height,Width,Depth,WFR,OutdoorVelocity,OutdoorTemperature,DistanceFromWindow,ResultID_T10,T_10
Standard_00534,Standard,0.1,3.5,4,0.0534,3,5,1.915888,Res_T10_1,0.14497
Standard_00534,Standard,0.1,3.5,4,0.0534,3,5,1.946953,Res_T10_2,0.106913
Standard_00534,Standard,0.1,3.5,4,0.0534,3,5,2.022529,Res_T10_3,0.107309
Standard_00534,Standard,0.1,3.5,4,0.0534,3,5,2.137902,Res_T10_4,0.110364
Standard_00534,Standard,0.1,3.5,4,0.0534,3,5,2.287056,Res_T10_5,0.112175
Standard_00534,Standard,0.1,3.5,4,0.0534,3,5,2.463864,Res_T10_6,0.113369
Standard_00534,Standard,0.1,3.5,4,0.0534,3,5,2.662823,Res_T10_7,0.113687
Standard_00534,Standard,0.1,3.5,4,0.0534,3,5,2.879345,Res_T10_8,0.112379
Standard_00534,Standard,0.1,3.5,4,0.0534,3,5,3.109763,Res_T10_9,0.108881
Wide_01224,Wide,1.75,7,3.5,0.1224,12,15,3.396723,Res_T10_66519,0.033537
Wide_01224,Wide,1.75,7,3.5,0.1224,12,15,3.465837,Res_T10_66520,0.04887
Wide_01224,Wide,1.75,7,3.5,0.1224,12,15,3.560692,Res_T10_66521,0.090742
Wide_01224,Wide,1.75,7,3.5,0.1224,12,15,3.679297,Res_T10_66522,0.119765
Wide_01224,Wide,1.75,7,3.5,0.1224,12,15,3.81944,Res_T10_66523,0.104778
Wide_01224,Wide,1.75,7,3.5,0.1224,12,15,3.978847,Res_T10_66524,0.088337
Wide_01224,Wide,1.75,7,3.5,0.1224,12,15,4.155301,Res_T10_66525,0.079835
Wide_01224,Wide,1.75,7,3.5,0.1224,12,15,4.346726,Res_T10_66526,0.073632
Wide_01224,Wide,1.75,7,3.5,0.1224,12,15,4.551233,Res_T10_66527,0.063695
Wide_01224,Wide,1.75,7,3.5,0.1224,12,15,4.76714,Res_T10_66528,0.053766
